1127	5			
3150	0	0.3048	39.6	0.0031
12500	0	0.1524	55.5	0.0017
3150	0	0.1524	39.6	0.0019
1250	7.3	0.2286	71.3	0.0104
800	8.4	0.0508	39.6	0.0057
250	12.6	0.1524	71.3	0.0483
1600	19.7	0.0508	39.6	0.0365
1600	8.4	0.0508	71.3	0.0053
630	3	0.3048	71.3	0.0043
10000	0	0.3048	55.5	0.0028
1250	3	0.3048	39.6	0.005
2000	9.5	0.0254	39.6	0.0045
200	19.7	0.0508	71.3	0.0341
1000	8.4	0.0508	71.3	0.0053
1600	19.7	0.0508	71.3	0.0341
2500	0	0.1524	39.6	0.0019
3150	4	0.2286	71.3	0.004
3150	12.3	0.1016	71.3	0.0338
1600	6.7	0.1016	71.3	0.0048
6300	0	0.1016	31.7	0.0015
2000	0	0.0254	31.7	0.0004
3150	9.5	0.0254	55.5	0.0043
6300	4	0.2286	31.7	0.0051
4000	3	0.3048	31.7	0.0053
8000	4	0.2286	71.3	0.004
3150	5.3	0.2286	39.6	0.0061
5000	0	0.2286	71.3	0.0021
1250	2.7	0.1524	39.6	0.0029
4000	7.3	0.2286	31.7	0.0133
5000	5.4	0.1524	39.6	0.0049
5000	4	0.2286	39.6	0.0047
1000	9.9	0.1524	31.7	0.0253
400	11.2	0.0508	71.3	0.0141
3150	12.3	0.1016	55.5	0.0368
2000	4	0.2286	71.3	0.004
8000	5.3	0.2286	71.3	0.0052
16000	0	0.2286	71.3	0.0021
8000	0	0.0508	55.5	0.0008
1000	8.4	0.0508	31.7	0.0058
1000	15.4	0.0508	71.3	0.0264
1250	7.3	0.2286	55.5	0.0112
10000	0	0.1016	55.5	0.0013
4000	0	0.1016	55.5	0.0013
500	2	0.2286	39.6	0.0035
2500	12.7	0.0254	39.6	0.013
630	9.9	0.1524	39.6	0.0233
10000	0	0.3048	31.7	0.0033
8000	0	0.2286	71.3	0.0021
2500	0	0.1524	71.3	0.0016
250	11.2	0.0508	39.6	0.015
500	15.6	0.1016	39.6	0.0528
4000	3	0.3048	39.6	0.005
2000	4.8	0.0254	55.5	0.0009
1600	4	0.3048	39.6	0.0058
1250	15.6	0.1016	71.3	0.0437
3150	4	0.3048	39.6	0.0058
6300	0	0.0508	71.3	0.0007
1000	9.5	0.0254	55.5	0.0043
250	0	0.3048	39.6	0.0031
2000	4.2	0.0508	71.3	0.0014
3150	5.4	0.1524	71.3	0.004
3150	4	0.2286	31.7	0.0051
800	6.7	0.1016	71.3	0.0048
2500	4	0.2286	39.6	0.0047
4000	4	0.2286	31.7	0.0051
5000	9.9	0.1524	31.7	0.0253
16000	0	0.0254	39.6	0.0004
315	12.3	0.1016	55.5	0.0368
400	22.2	0.0254	39.6	0.0229
10000	4.2	0.0508	39.6	0.0015
630	15.4	0.0508	71.3	0.0264
1000	15.4	0.0508	39.6	0.0283
630	11.2	0.0508	39.6	0.015
6300	22.2	0.0254	71.3	0.0214
2500	15.4	0.0508	39.6	0.0283
1000	4	0.2286	55.5	0.0043
2000	4	0.2286	55.5	0.0043
8000	0	0.1524	71.3	0.0016
315	9.9	0.1524	71.3	0.0193
3150	19.7	0.0508	39.6	0.0365
3150	1.5	0.3048	39.6	0.0039
1000	5.4	0.1524	39.6	0.0049
1000	3	0.3048	55.5	0.0045
1600	7.3	0.2286	55.5	0.0112
1250	0	0.2286	39.6	0.0025
8000	4.2	0.0508	71.3	0.0014
1600	0	0.1524	71.3	0.0016
1250	19.7	0.0508	71.3	0.0341
5000	7.3	0.2286	71.3	0.0104
3150	0	0.0508	39.6	0.0008
6300	0	0.0508	39.6	0.0008
10000	0	0.3048	39.6	0.0031
3150	5.4	0.1524	39.6	0.0049
12500	0	0.0254	39.6	0.0004
3150	4.8	0.0254	39.6	0.0009
2000	17.4	0.0254	55.5	0.0166
8000	0	0.0254	71.3	0.0004
4000	5.4	0.1524	39.6	0.0049
10000	0	0.0508	39.6	0.0008
315	12.3	0.1016	71.3	0.0338
2500	4	0.2286	55.5	0.0043
1250	12.6	0.1524	71.3	0.0483
630	3	0.3048	39.6	0.005
1250	0	0.2286	31.7	0.0027
2000	0	0.2286	71.3	0.0021
2000	15.4	0.0508	39.6	0.0283
3150	7.3	0.2286	31.7	0.0133
315	17.4	0.0254	55.5	0.0166
200	9.9	0.1524	71.3	0.0193
4000	4.8	0.0254	71.3	0.0008
800	2.7	0.1524	71.3	0.0024
8000	0	0.1524	31.7	0.0021
5000	0	0.1524	71.3	0.0016
800	0	0.1524	71.3	0.0016
400	2	0.2286	55.5	0.0031
200	9.9	0.1524	39.6	0.0233
250	22.2	0.0254	39.6	0.0229
800	0	0.0508	55.5	0.0008
500	12.6	0.1524	39.6	0.0584
1600	15.6	0.1016	71.3	0.0437
200	12.3	0.1016	39.6	0.0408
1250	17.4	0.0254	71.3	0.0161
400	3	0.3048	31.7	0.0053
10000	0	0.1016	31.7	0.0015
3150	3.3	0.1016	55.5	0.0022
2000	12.6	0.1524	39.6	0.0584
630	15.4	0.0508	31.7	0.029
800	5.4	0.1524	71.3	0.004
1000	3	0.3048	39.6	0.005
630	4	0.3048	39.6	0.0058
4000	2	0.2286	31.7	0.0037
5000	0	0.2286	31.7	0.0027
16000	1.5	0.3048	71.3	0.0034
630	9.9	0.1524	31.7	0.0253
2000	2	0.2286	71.3	0.0029
1600	0	0.0508	71.3	0.0007
1000	4.8	0.0254	31.7	0.0009
400	17.4	0.0254	71.3	0.0161
3150	0	0.1016	31.7	0.0015
3150	8.4	0.0508	55.5	0.0054
500	7.2	0.1524	71.3	0.0075
1250	2	0.2286	55.5	0.0031
6300	3	0.3048	39.6	0.005
1250	6.7	0.1016	39.6	0.0058
1600	12.3	0.1016	71.3	0.0338
250	8.9	0.1016	39.6	0.0125
4000	0	0.2286	39.6	0.0025
630	4	0.2286	71.3	0.004
630	12.6	0.1524	39.6	0.0584
5000	5.4	0.1524	71.3	0.004
800	22.2	0.0254	39.6	0.0229
1600	11.2	0.0508	39.6	0.015
1250	9.9	0.1524	71.3	0.0193
16000	0	0.0254	31.7	0.0004
2500	5.3	0.2286	39.6	0.0061
3150	5.4	0.1524	55.5	0.0043
1000	17.4	0.0254	31.7	0.0177
3150	9.9	0.1524	39.6	0.0233
500	2	0.2286	71.3	0.0029
400	0	0.3048	31.7	0.0033
1250	15.4	0.0508	71.3	0.0264
400	4	0.2286	31.7	0.0051
500	5.4	0.1524	39.6	0.0049
2500	0	0.0254	31.7	0.0004
3150	0	0.1524	31.7	0.0021
1000	0	0.1524	55.5	0.0017
4000	4	0.3048	71.3	0.005
800	6.7	0.1016	55.5	0.0052
315	7.2	0.1524	71.3	0.0075
630	7.2	0.1524	39.6	0.0091
6300	2	0.2286	31.7	0.0037
12500	0	0.0508	31.7	0.0008
12500	0	0.3048	39.6	0.0031
630	0	0.1524	31.7	0.0021
1000	6.7	0.1016	39.6	0.0058
8000	7.2	0.1524	71.3	0.0075
200	12.6	0.1524	39.6	0.0584
1600	0	0.0254	31.7	0.0004
1600	3.3	0.1016	55.5	0.0022
1250	4.2	0.0508	39.6	0.0015
2000	3	0.3048	39.6	0.005
315	12.6	0.1524	71.3	0.0483
1250	9.5	0.0254	31.7	0.0046
630	4	0.2286	39.6	0.0047
1250	0	0.0254	31.7	0.0004
4000	4.8	0.0254	31.7	0.0009
8000	0	0.3048	55.5	0.0028
5000	4.2	0.0508	71.3	0.0014
2000	0	0.3048	39.6	0.0031
4000	15.6	0.1016	39.6	0.0528
6300	0	0.3048	71.3	0.0027
1000	12.7	0.0254	71.3	0.0122
5000	3	0.3048	55.5	0.0045
800	3	0.3048	71.3	0.0043
400	11.2	0.0508	39.6	0.015
800	0	0.3048	55.5	0.0028
1250	7.2	0.1524	71.3	0.0075
2500	7.2	0.1524	71.3	0.0075
800	3	0.3048	39.6	0.005
12500	4.8	0.0254	55.5	0.0009
5000	4	0.3048	39.6	0.0058
6300	4.8	0.0254	31.7	0.0009
10000	0	0.1016	39.6	0.0015
6300	0	0.2286	71.3	0.0021
1000	12.6	0.1524	39.6	0.0584
8000	22.2	0.0254	71.3	0.0214
315	15.6	0.1016	39.6	0.0528
1600	15.6	0.1016	39.6	0.0528
4000	2	0.2286	71.3	0.0029
